,date,time,currency,impact,event,actual,forecast,previous
61,2022-12-21,21:00,CHF,low,SNB Quarterly Bulletin,,,
62,2022-12-21,9:00,NZD,low,Credit Card Spending y/y,16.0%,,24.6%
63,2022-12-21,6:30,AUD,low,MI Leading Index m/m,-0.1%,,0.0%
64,2022-12-21,4:45,NZD,low,Trade Balance,-1863M,-2062M,-2298M
65,2022-12-21,22:30,USD,low,Crude Oil Inventories,-5.9M,2.5M,10.2M
66,2022-12-21, ,USD,low,Existing Home Sales,4.09M,4.20M,4.43M
67,2022-12-21,22:00,USD,high,CB Consumer Confidence,108.3,101.0,101.4
68,2022-12-21,21:16,CNY,low,CB Leading Index m/m,-1.0%,,-0.8%
69,2022-12-21, ,USD,low,Current Account,-217B,-222B,-239B
70,2022-12-21,20:32,CAD,low,Core CPI m/m,0.0%,,0.4%
71,2022-12-21, ,CAD,medium,Common CPI y/y,6.7%,6.1%,6.4%
72,2022-12-21, ,CAD,high,Trimmed CPI y/y,5.3%,5.3%,5.3%
73,2022-12-21, ,CAD,high,Median CPI y/y,5.0%,4.9%,4.9%
74,2022-12-21,14:00,EUR,low,German GfK Consumer Climate,-37.8,-38.0,-40.1
75,2022-12-21, ,GBP,low,Public Sector Net Borrowing,21.2B,14.6B,13.4B
76,2022-12-21,18:00,GBP,low,CBI Realized Sales,11,-24,-19
77,2022-12-21,20:30,CAD,high,CPI m/m,0.1%,0.0%,0.7%
78,2022-12-20,7:00,NZD,low,ANZ Business Confidence,-70.2,,-57.1
79,2022-12-20,10:01,JPY,high,Monetary Policy Statement,,,
80,2022-12-20,22:00,EUR,low,Consumer Confidence,-22,-22,-24
81,2022-12-20,21:54,NZD,low,GDT Price Index,-3.8%,,0.6%
82,2022-12-20, ,USD,low,Housing Starts,1.43M,1.40M,1.43M
83,2022-12-20, ,USD,low,Building Permits,1.34M,1.48M,1.51M
84,2022-12-20, ,CAD,medium,Retail Sales m/m,1.4%,1.5%,-0.6%
85,2022-12-20,20:30,CAD,medium,Core Retail Sales m/m,1.7%,1.3%,-0.8%
86,2022-12-20,16:00,EUR,low,Current Account,-0.4B,-10.3B,-8.1B
87,2022-12-20, ,EUR,low,German PPI m/m,-3.9%,-1.7%,-4.2%
88,2022-12-20,14:00,CHF,low,Trade Balance,2.31B,3.27B,4.27B
89,2022-12-20,13:30,JPY,high,BOJ Press Conference,,,
90,2022-12-20,7:30,AUD,medium,Monetary Policy Meeting Minutes,,,
91,2022-12-19,4:30,NZD,low,BusinessNZ Services Index,53.7,,57.1
92,2022-12-19,3:00,NZD,low,Westpac Consumer Sentiment,75.6,,87.6
93,2022-12-19, ,JPY,low,BOJ Policy Rate,-0.10%,-0.10%,-0.10%
94,2022-12-19, ,GBP,low,CBI Industrial Order Expectations,-6,-10,-5
95,2022-12-19,22:00,USD,low,NAHB Housing Market Index,31,34,33
96,2022-12-19, ,CAD,low,RMPI m/m,-0.8%,3.2%,1.3%
97,2022-12-19,20:30,CAD,low,IPPI m/m,-0.4%,2.2%,2.4%
98,2022-12-19,18:00,EUR,low,German Buba Monthly Report,,,
99,2022-12-19,16:00,EUR,medium,German ifo Business Climate,88.6,87.6,86.4
100,2022-12-16, ,EUR,low,Trade Balance,-28.3B,-32.5B,-36.4B
101,2022-12-16,4:00,USD,low,TIC Long-Term Purchases,67.8B,110.0B,117.7B
102,2022-12-16,4:30,NZD,low,BusinessNZ Manufacturing Index,47.4,,49.1
103,2022-12-16,5:00,AUD,low,Flash Manufacturing PMI,50.4,,51.3
104,2022-12-16,7:01,GBP,low,GfK Consumer Confidence,-42,-43,-44
105,2022-12-16,7:30,JPY,low,Flash Manufacturing PMI,48.8,49.0,49.0
106,2022-12-16, ,USD,medium,Flash Manufacturing PMI,46.2,47.7,47.7
107,2022-12-16,21:45,USD,high,Flash Services PMI,44.4,46.5,46.2
108,2022-12-16, ,CAD,low,Wholesale Sales m/m,2.1%,1.4%,-0.2%
109,2022-12-16, ,CAD,low,NHPI m/m,-0.2%,-0.1%,-0.2%
110,2022-12-16,20:30,CAD,low,Foreign Securities Purchases,8.46B,3.45B,-22.50B
111,2022-12-16,15:30,EUR,high,German Flash Manufacturing PMI,47.4,46.3,46.2
112,2022-12-16, ,EUR,low,Final Core CPI y/y,5.0%,5.0%,5.0%
113,2022-12-16, ,EUR,high,German Flash Services PMI,49.0,46.4,46.1
114,2022-12-16, ,GBP,high,Flash Services PMI,50.0,48.5,48.8
115,2022-12-16,16:30,GBP,high,Flash Manufacturing PMI,44.7,46.5,46.5
116,2022-12-16, ,EUR,low,Italian Trade Balance,-2.12B,-4.50B,-6.51B
117,2022-12-16, ,EUR,low,Flash Services PMI,49.1,48.5,48.5
118,2022-12-16,16:00,EUR,low,Flash Manufacturing PMI,47.8,47.1,47.1
119,2022-12-16,14:00,GBP,medium,Retail Sales m/m,-0.4%,0.3%,0.9%
120,2022-12-16,15:15,EUR,high,French Flash Services PMI,48.1,49.1,49.3
121,2022-12-16, ,EUR,medium,French Flash Manufacturing PMI,48.9,48.1,48.3
122,2022-12-16,17:00,EUR,low,Final CPI y/y,10.1%,10.0%,10.0%
123,2022-12-15,22:00,USD,low,Business Inventories m/m,0.3%,0.4%,0.2%
124,2022-12-15,22:30,USD,low,Natural Gas Storage,-50B,-39B,-21B
125,2022-12-15, ,AUD,low,Flash Services PMI,46.9,,47.6
126,2022-12-15,21:15,USD,low,Capacity Utilization Rate,79.7%,79.8%,79.9%
127,2022-12-15,4:45,NZD,high,GDP q/q,2.0%,0.8%,1.9%
128,2022-12-15,2:00,USD,high,FOMC Economic Projections,,,
129,2022-12-15,2:30,USD,high,FOMC Press Conference,,,
130,2022-12-15,6:50,JPY,low,Trade Balance,-1.73T,-1.24T,-2.21T
131,2022-12-15,7:00,AUD,low,MI Inflation Expectations,5.2%,,6.0%
132,2022-12-15,7:30,AUD,high,Employment Change,64.0K,19.4K,43.1K
133,2022-12-15,9:02,CNY,low,Unemployment Rate,5.7%,5.6%,5.5%
134,2022-12-15,11:30,JPY,low,Tertiary Industry Activity m/m,0.2%,0.7%,-0.2%
135,2022-12-15, ,USD,low,Industrial Production m/m,-0.2%,0.1%,-0.1%
136,2022-12-15,9:00,CNY,low,Fixed Asset Investment ytd/y,5.3%,5.6%,5.8%
137,2022-12-15,20:45,EUR,high,ECB Press Conference,,,
138,2022-12-15, ,GBP,medium,BOE Inflation Letter,,,
139,2022-12-15, ,USD,medium,Unemployment Claims,211K,230K,231K
140,2022-12-15,14:45,EUR,low,French Final CPI m/m,0.3%,0.4%,0.4%
141,2022-12-15,15:30,CHF,high,SNB Monetary Policy Assessment,,,
142,2022-12-15,14:00,EUR,low,German WPI m/m,-0.9%,0.2%,-0.6%
143,2022-12-15, ,CHF,high,SNB Policy Rate,1.00%,1.00%,0.50%
144,2022-12-15,16:00,CHF,high,SNB Press Conference,,,
145,2022-12-15, ,GBP,high,Monetary Policy Summary,,,
146,2022-12-15, ,GBP,high,Official Bank Rate,3.50%,3.50%,3.00%
147,2022-12-15,19:00,GBP,high,MPC Official Bank Rate Votes,7-0-2,9-0-0,9-0-0
148,2022-12-15, ,USD,high,Retail Sales m/m,-0.6%,-0.2%,1.3%
149,2022-12-15, ,USD,medium,Philly Fed Manufacturing Index,-13.8,-10.0,-19.4
150,2022-12-15, ,EUR,high,Main Refinancing Rate,2.50%,2.50%,2.00%
151,2022-12-15,20:30,USD,high,Core Retail Sales m/m,-0.2%,0.2%,1.2%
152,2022-12-15,20:15,CAD,low,Housing Starts,264K,260K,265K
153,2022-12-15, ,USD,high,Empire State Manufacturing Index,-11.2,-1.1,4.5
154,2022-12-15, ,EUR,high,Monetary Policy Statement,,,
155,2022-12-14,11:30,JPY,low,Revised Industrial Production m/m,-3.2%,-2.6%,-2.6%
156,2022-12-14, ,AUD,high,Unemployment Rate,3.4%,3.4%,3.4%
157,2022-12-14,6:50,JPY,low,Core Machinery Orders m/m,5.4%,1.7%,-4.6%
158,2022-12-14, ,CNY,low,Retail Sales y/y,-5.9%,-3.9%,-0.5%
159,2022-12-14,14:30,CHF,low,PPI m/m,-0.5%,0.1%,0.0%
160,2022-12-14, ,CNY,low,Industrial Production y/y,2.2%,3.4%,5.0%
161,2022-12-14,5:30,AUD,high,RBA Gov Lowe Speaks,,,
162,2022-12-14,4:45,NZD,low,Current Account,-10.21B,-10.20B,-5.42B
163,2022-12-14,1:01,USD,low,30-y Bond Auction,3.51|2.2,,4.08|2.4
164,2022-12-14, ,GBP,low,RPI y/y,14.0%,13.9%,14.2%
165,2022-12-14, ,CNY,low,NBS Press Conference,,,
166,2022-12-14, ,USD,high,Federal Funds Rate,4.50%,4.50%,4.00%
167,2022-12-14, ,USD,high,FOMC Statement,,,
168,2022-12-14, ,GBP,low,Core CPI y/y,6.3%,6.5%,6.5%
169,2022-12-14,22:30,USD,low,Crude Oil Inventories,10.2M,-3.4M,-5.2M
170,2022-12-14,21:30,GBP,low,CB Leading Index m/m,-0.8%,,-1.0%
171,2022-12-14,16:00,EUR,low,Italian Quarterly Unemployment Rate,7.9%,8.0%,8.1%
172,2022-12-14,16:30,GBP,low,HPI y/y,12.6%,11.2%,9.9%
173,2022-12-14,17:00,EUR,low,Industrial Production m/m,-2.0%,-1.4%,0.8%
174,2022-12-14,14:00,GBP,high,CPI y/y,10.7%,10.9%,11.1%
175,2022-12-14,20:30,CAD,low,Manufacturing Sales m/m,2.8%,1.9%,0.1%
176,2022-12-14, ,USD,low,Import Prices m/m,-0.6%,-0.5%,-0.4%
177,2022-12-13, ,USD,high,CPI y/y,7.1%,7.3%,7.7%
178,2022-12-13, ,JPY,low,Tankan Manufacturing Index,7,6,8
179,2022-12-13,22:00,USD,low,IBD/TIPP Economic Optimism,42.9,41.3,40.4
180,2022-12-13,2:00,USD,low,Federal Budget Balance,-248.5B,-248.5B,-87.8B
181,2022-12-13, ,JPY,low,Tankan Non-Manufacturing Index,19,17,14
182,2022-12-13,1:01,USD,low,10-y Bond Auction,3.63|2.3,,4.14|2.2
183,2022-12-13,3:25,CAD,high,BOC Gov Macklem Speaks,,,
184,2022-12-13,4:45,NZD,low,FPI m/m,0.0%,,0.8%
185,2022-12-13,6:30,AUD,low,Westpac Consumer Sentiment,3.0%,,-6.9%
186,2022-12-13,7:24,AUD,low,NAB Business Confidence,-4,,0
187,2022-12-13, ,USD,high,Core CPI m/m,0.2%,0.3%,0.3%
188,2022-12-13, ,EUR,low,ZEW Economic Sentiment,-23.6,-25.4,-38.7
189,2022-12-13,20:30,USD,high,CPI m/m,0.1%,0.3%,0.4%
190,2022-12-13,17:00,EUR,medium,German ZEW Economic Sentiment,-23.3,-26.5,-36.7
191,2022-12-13,15:00,CHF,low,SECO Economic Forecasts,,,
192,2022-12-13, ,GBP,low,Unemployment Rate,3.7%,3.7%,3.6%
193,2022-12-13, ,GBP,medium,Average Earnings Index 3m/y,6.1%,6.1%,6.0%
194,2022-12-13, ,GBP,high,Claimant Count Change,30.5K,3.5K,-6.4K
195,2022-12-13,14:00,EUR,low,German Final CPI m/m,-0.5%,-0.5%,-0.5%
196,2022-12-13,16:00,EUR,low,Italian Industrial Production m/m,-1.0%,-0.2%,-1.7%
197,2022-12-13, ,USD,low,NFIB Small Business Index,91.9,90.4,91.3
198,2022-12-13,13:30,EUR,low,French Final Private Payrolls q/q,0.6%,0.4%,0.4%
199,2022-12-13,17:02,GBP,low,10-y Bond Auction,3.33|2.2,,3.71|2.2
200,2022-12-13,17:30,GBP,low,BOE Financial Stability Report,,,
201,2022-12-13, ,GBP,low,FPC Meeting Minutes,,,
202,2022-12-13, ,GBP,low,FPC Statement,,,
203,2022-12-13,18:00,GBP,high,BOE Gov Bailey Speaks,,,
204,2022-12-12,6:50,JPY,low,BSI Manufacturing Index,-3.6,2.3,1.7
205,2022-12-12,4:45,NZD,low,Visitor Arrivals m/m,6.8%,,16.6%
206,2022-12-12,7:01,GBP,low,Rightmove HPI m/m,-2.1%,,-1.1%
207,2022-12-12, ,CNY,low,New Loans,1210B,1410B,615B
208,2022-12-12,19:13,GBP,low,NIESR GDP Estimate,-0.3%,,-0.3%
209,2022-12-12,15:10,CNY,low,M2 Money Supply y/y,12.4%,11.7%,11.8%
210,2022-12-12, ,GBP,low,Manufacturing Production m/m,0.7%,-0.1%,0.0%
211,2022-12-12, ,GBP,low,Industrial Production m/m,0.0%,-0.1%,0.2%
212,2022-12-12, ,GBP,low,Index of Services 3m/3m,-0.1%,-0.1%,0.0%
213,2022-12-12, ,GBP,low,Goods Trade Balance,-14.5B,-15.4B,-15.7B
214,2022-12-12, ,GBP,low,Construction Output m/m,0.8%,0.1%,0.4%
215,2022-12-12,14:00,GBP,high,GDP m/m,0.5%,0.4%,-0.6%
216,2022-12-12,24:58,JPY,low,Prelim Machine Tool Orders y/y,-7.8%,,-5.5%
217,2022-12-11, ,JPY,low,PPI y/y,9.3%,8.8%,9.4%
218,2022-12-09, ,USD,medium,Prelim UoM Inflation Expectations,4.6%,,4.9%
219,2022-12-09,6:50,JPY,low,M2 Money Stock y/y,3.1%,3.0%,3.1%
220,2022-12-09,4:45,NZD,low,Manufacturing Sales q/q,5.1%,,-3.2%
221,2022-12-09,12:30,CAD,low,Gov Council Member Kozicki Speaks,,,
222,2022-12-09, ,USD,low,Final Wholesale Inventories m/m,0.5%,0.8%,0.8%
223,2022-12-09,8:30,CNY,low,CPI y/y,1.6%,1.6%,2.1%
224,2022-12-09,22:00,USD,high,Prelim UoM Consumer Sentiment,59.1,56.9,56.8
225,2022-12-09,20:30,CAD,low,Capacity Utilization Rate,82.6%,82.2%,82.8%
226,2022-12-09,16:30,GBP,low,Consumer Inflation Expectations,4.8%,,4.9%
227,2022-12-09, ,USD,high,PPI m/m,0.3%,0.2%,0.3%
228,2022-12-09, ,USD,high,Core PPI m/m,0.4%,0.2%,0.1%
229,2022-12-08,6:50,JPY,low,Bank Lending y/y,2.7%,2.2%,2.6%
230,2022-12-08,7:01,GBP,low,RICS House Price Balance,-25%,-10%,-2%
231,2022-12-08,7:30,AUD,low,RBA Bulletin,,,
232,2022-12-08, ,CNY,low,PPI y/y,-1.3%,-1.5%,-1.3%
233,2022-12-08,24:00,JPY,low,Economy Watchers Sentiment,48.1,50.7,49.9
234,2022-12-08,22:30,USD,low,Natural Gas Storage,-21B,-38B,-81B
235,2022-12-08,21:30,CHF,medium,Gov Board Member Maechler Speaks,,,
236,2022-12-08,20:30,USD,medium,Unemployment Claims,230K,230K,226K
237,2022-12-08,19:00,EUR,medium,ECB President Lagarde Speaks,,,
238,2022-12-08,All Day,EUR,holiday,Italian Bank Holiday,,,
239,2022-12-08,3:00,USD,low,Consumer Credit m/m,27.1B,28.2B,25.8B
240,2022-12-07,22:30,USD,low,Crude Oil Inventories,-5.2M,-3.5M,-12.6M
241,2022-12-07,10:10,CNY,low,USD-Denominated Trade Balance,69.8B,78.1B,85.2B
242,2022-12-07,10:06,CNY,low,Trade Balance,494B,486B,587B
243,2022-12-07,7:30,AUD,high,GDP q/q,0.6%,0.7%,0.9%
244,2022-12-07,4:30,AUD,low,AIG Services Index,45.6,,47.7
245,2022-12-07, ,AUD,low,Trade Balance,12.22B,12.10B,12.44B
246,2022-12-07, ,JPY,low,Final GDP q/q,-0.2%,-0.3%,-0.3%
247,2022-12-07, ,JPY,low,Final GDP Price Index y/y,-0.3%,-0.5%,-0.5%
248,2022-12-07, ,JPY,low,Current Account,-0.61T,0.35T,0.67T
249,2022-12-07, ,CAD,high,Overnight Rate,4.25%,4.25%,3.75%
250,2022-12-07,15:00,CHF,low,Foreign Currency Reserves,790B,,817B
251,2022-12-07,24:00,JPY,low,Leading Indicators,99.0%,98.4%,97.5%
252,2022-12-07,13:45,CHF,low,Unemployment Rate,2.0%,2.1%,2.1%
253,2022-12-07,14:00,EUR,low,German Industrial Production m/m,-0.1%,-0.6%,1.1%
254,2022-12-07, ,GBP,low,Halifax HPI m/m,-2.3%,-0.2%,-0.4%
255,2022-12-07,22:00,CAD,high,BOC Rate Statement,,,
256,2022-12-07,14:45,EUR,low,French Trade Balance,-12.2B,-15.9B,-17.2B
257,2022-12-07,16:00,EUR,low,Italian Retail Sales m/m,-0.4%,-0.6%,0.5%
258,2022-12-07,20:30,USD,low,Revised Nonfarm Productivity q/q,0.8%,0.6%,0.3%
259,2022-12-07, ,USD,low,Revised Unit Labor Costs q/q,2.4%,3.1%,3.5%
260,2022-12-07,17:00,EUR,low,Final Employment Change q/q,0.3%,0.2%,0.2%
261,2022-12-07, ,EUR,low,Revised GDP q/q,0.3%,0.2%,0.2%
262,2022-12-06,7:01,GBP,low,BRC Retail Sales Monitor y/y,4.1%,4.0%,1.2%
263,2022-12-06,7:30,AUD,low,Current Account,-2.3B,5.9B,14.7B
264,2022-12-06,10:30,AUD,high,Cash Rate,3.10%,3.10%,2.85%
265,2022-12-06,10:35,JPY,low,30-y Bond Auction,1.48|3.0,,1.56|3.3
266,2022-12-06,14:00,EUR,low,German Factory Orders m/m,0.8%,0.2%,-2.9%
267,2022-12-06,6:30,JPY,low,Average Cash Earnings y/y,1.8%,2.0%,2.2%
268,2022-12-06,22:00,CAD,medium,Ivey PMI,51.4,51.0,50.1
269,2022-12-06,21:54,NZD,low,GDT Price Index,0.6%,,2.4%
270,2022-12-06, ,USD,low,Trade Balance,-78.2B,-80.1B,-74.1B
271,2022-12-06,20:30,CAD,low,Trade Balance,1.2B,1.3B,0.6B
272,2022-12-06,All Day,EUR,low,ECOFIN Meetings,,,
273,2022-12-06,16:30,GBP,low,Construction PMI,50.4,52.0,53.2
274,2022-12-05, ,USD,low,Factory Orders m/m,1.0%,0.7%,0.3%
275,2022-12-05,7:30,AUD,low,Company Operating Profits q/q,-12.4%,-1.5%,7.8%
276,2022-12-05,7:00,AUD,low,MI Inflation Gauge m/m,1.0%,,0.4%
277,2022-12-05,4:30,AUD,low,AIG Construction Index,48.2,,43.3
278,2022-12-05, ,AUD,high,RBA Rate Statement,,,
279,2022-12-05, ,JPY,low,Household Spending y/y,1.2%,0.9%,2.3%
280,2022-12-05,8:45,CNY,low,Caixin Services PMI,46.7,48.0,48.4
281,2022-12-05,20:30,CAD,low,Building Permits m/m,-1.4%,8.1%,-18.2%
282,2022-12-05,22:00,USD,high,ISM Services PMI,56.5,53.5,54.4
283,2022-12-05,16:00,EUR,low,Final Services PMI,48.5,48.6,48.6
284,2022-12-05,21:45,USD,low,Final Services PMI,46.2,46.1,46.1
285,2022-12-05,15:15,EUR,low,Spanish Services PMI,51.2,50.6,49.7
286,2022-12-05,15:50,EUR,low,French Final Services PMI,49.3,49.4,49.4
287,2022-12-05,15:55,EUR,low,German Final Services PMI,46.1,46.4,46.4
288,2022-12-05,15:45,EUR,low,Italian Services PMI,49.5,47.6,46.4
289,2022-12-05,16:30,EUR,low,Sentix Investor Confidence,-21.0,-27.6,-30.9
290,2022-12-05, ,GBP,low,Final Services PMI,48.8,48.8,48.8
291,2022-12-05,17:00,EUR,low,Retail Sales m/m,-1.8%,-1.7%,0.8%
292,2022-12-05,All Day,EUR,low,Eurogroup Meetings,,,
293,2022-12-04,All Day,All,medium,OPEC-JMMC Meetings,,,
294,2022-12-04, ,NZD,low,ANZ Commodity Prices m/m,-3.9%,,-3.4%
295,2022-12-04, ,EUR,medium,ECB President Lagarde Speaks,,,
296,2022-12-02, ,USD,high,Average Hourly Earnings m/m,0.6%,0.3%,0.5%
297,2022-12-02,3:00,USD,low,FOMC Member Barr Speaks,,,
298,2022-12-02,4:45,NZD,low,Overseas Trade Index q/q,-3.4%,0.4%,-2.3%
299,2022-12-02,6:50,JPY,low,Monetary Base y/y,-6.4%,-4.5%,-6.9%
300,2022-12-02,7:30,AUD,low,Retail Sales m/m,-0.2%,-0.2%,-0.2%
301,2022-12-02,8:30,JPY,medium,BOJ Gov Kuroda Speaks,,,
302,2022-12-02,9:40,AUD,high,RBA Gov Lowe Speaks,,,
303,2022-12-02,11:30,NZD,high,RBNZ Gov Orr Speaks,,,
304,2022-12-02, ,USD,high,Non-Farm Employment Change,263K,200K,284K
305,2022-12-02, ,USD,high,Unemployment Rate,3.7%,3.7%,3.7%
306,2022-12-02, ,EUR,low,German Buba President Nagel Speaks,,,
307,2022-12-02,20:30,CAD,high,Employment Change,10.1K,10.5K,108.3K
308,2022-12-02,14:00,EUR,low,German Import Prices m/m,-1.2%,-1.9%,-0.9%
309,2022-12-02, ,EUR,low,German Trade Balance,6.9B,5.3B,2.8B
310,2022-12-02,14:45,EUR,low,French Gov Budget Balance,-143.2B,,-146.6B
311,2022-12-02, ,EUR,low,French Industrial Production m/m,-2.6%,0.0%,-0.9%
312,2022-12-02,15:00,EUR,low,Spanish Unemployment Change,-33.5K,-20.3K,-27.0K
313,2022-12-02, ,CAD,high,Unemployment Rate,5.1%,5.3%,5.2%
314,2022-12-02,17:00,EUR,low,PPI m/m,-2.9%,-2.0%,1.6%
315,2022-12-01,1:30,USD,high,Fed Chair Powell Speaks,,,
316,2022-12-01,21:30,CAD,low,Manufacturing PMI,49.6,,48.8
317,2022-12-01,21:45,USD,low,Final Manufacturing PMI,47.7,47.6,47.6
318,2022-12-01,22:00,USD,high,ISM Manufacturing PMI,49.0,49.7,50.2
319,2022-12-01, ,USD,low,Construction Spending m/m,-0.3%,-0.2%,0.1%
320,2022-12-01, ,USD,low,ISM Manufacturing Prices,43.0,45.9,46.6
321,2022-12-01,All Day,USD,low,Wards Total Vehicle Sales,14.1M,14.5M,14.9M
322,2022-12-01,22:30,USD,low,Natural Gas Storage,-81B,-82B,-80B
323,2022-12-01,10:35,JPY,low,10-y Bond Auction,0.25|6.0,,0.25|5.2
324,2022-12-01,12:35,USD,low,FOMC Member Cook Speaks,,,
325,2022-12-01,8:45,CNY,low,Caixin Manufacturing PMI,49.4,48.9,49.2
326,2022-12-01,7:30,AUD,low,Private Capital Expenditure q/q,-0.6%,1.6%,-0.3%
327,2022-12-01,6:50,JPY,low,Capital Spending q/y,9.8%,6.4%,4.6%
328,2022-12-01,4:30,AUD,low,AIG Manufacturing Index,44.7,,49.6
329,2022-12-01, ,EUR,medium,ECB President Lagarde Speaks,,,
330,2022-12-01,2:00,USD,low,Beige Book,,,
331,2022-12-01, ,USD,low,FOMC Member Bowman Speaks,,,
332,2022-12-01, ,USD,medium,Unemployment Claims,225K,234K,241K
333,2022-12-01, ,USD,low,Personal Spending m/m,0.8%,0.8%,0.6%
334,2022-12-01, ,GBP,low,Nationwide HPI m/m,-1.4%,-0.3%,-0.9%
335,2022-12-01,14:00,EUR,low,German Retail Sales m/m,-2.8%,-0.6%,1.2%
336,2022-12-01,24:30,AUD,low,Commodity Prices y/y,19.1%,,31.6%
337,2022-12-01, ,USD,low,Personal Income m/m,0.7%,0.4%,0.4%
