,date,time,currency,impact,event,actual,forecast,previous
124,2023-05-03,13:45,EUR,Low,French Gov Budget Balance,,,-50.3B
125,2023-05-03,16:00,EUR,Low,Unemployment Rate,6.5%,6.6%,6.6%
126,2023-05-03,19:15,USD,High,ADP Non-Farm Employment Change,296K,148K,142K
127,2023-05-03,20:45,USD,Low,Final Services PMI,,53.7,53.7
128,2023-05-03,21:00,USD,High,ISM Services PMI,,51.8,51.2
129,2023-05-03,21:30,USD,Low,Crude Oil Inventories,-1.3M,-0.5M,-5.1M
130,2023-05-02,14:00,CHF,Low,SECO Consumer Climate,-30,-22,-30
131,2023-05-02,14:50,EUR,Low,French Final Manufacturing PMI,,45.5,45.5
132,2023-05-02,6:01,GBP,Low,BRC Shop Price Index y/y,,,8.9%
133,2023-05-02,14:30,CHF,Low,Manufacturing PMI,45.3,47.2,47.0
134,2023-05-02,14:15,EUR,Low,Spanish Manufacturing PMI,49.0,49.8,51.3
135,2023-05-02, ,AUD,High,RBA Rate Statement,,,
136,2023-05-02, ,GBP,Low,Nationwide HPI m/m,0.5%,-0.5%,-0.7%
137,2023-05-02,13:00,EUR,Low,German Retail Sales m/m,-2.4%,0.4%,-0.3%
138,2023-05-02,15:00,EUR,Low,Final Manufacturing PMI,,45.5,45.5
139,2023-05-02,23:30,AUD,High,Cash Rate,3.85%,3.60%,3.60%
140,2023-05-02,6:50,JPY,Low,Monetary Base y/y,,-1.3%,-1.0%
141,2023-05-02,14:55,EUR,Low,German Final Manufacturing PMI,44.5,44.0,44.0
142,2023-05-02,14:45,EUR,Low,Italian Manufacturing PMI,46.8,49.4,51.1
143,2023-05-02, ,EUR,Low,M3 Money Supply y/y,,2.4%,2.9%
144,2023-05-02,18:20,AUD,High,RBA Gov Lowe Speaks,,,
145,2023-05-02, ,EUR,Low,Private Loans y/y,2.9%,3.2%,3.2%
146,2023-05-02,21:53,NZD,Low,GDT Price Index,,,3.2%
147,2023-05-02, ,USD,Low,Factory Orders m/m,0.9%,1.3%,-1.1%
148,2023-05-02,21:00,USD,High,JOLTS Job Openings,9.59M,9.74M,9.97M
149,2023-05-02,All Day,USD,Low,Wards Total Vehicle Sales,15.9M,15.1M,14.8M
150,2023-05-02, ,EUR,Low,Italian Prelim CPI m/m,0.5%,0.3%,-0.4%
151,2023-05-02, ,EUR,Medium,Core CPI Flash Estimate y/y,,5.6%,5.7%
152,2023-05-02,16:00,EUR,Medium,CPI Flash Estimate y/y,,7.0%,6.9%
153,2023-05-02,15:30,GBP,Low,Final Manufacturing PMI,47.8,46.6,46.6
154,2023-05-01,All Day,EUR,Non-Economic,French Bank Holiday,,,
155,2023-05-01,All Day,CNY,Non-Economic,Bank Holiday,,,
156,2023-05-01,7:30,JPY,Low,Final Manufacturing PMI,,49.5,49.5
157,2023-05-01,8:00,AUD,Low,MI Inflation Gauge m/m,,,0.3%
158,2023-05-01,8:30,AUD,Low,ANZ Job Advertisements m/m,,,-2.7%
159,2023-05-01,All Day,CHF,Non-Economic,Bank Holiday,,,
160,2023-05-01,13:30,AUD,Low,Commodity Prices y/y,,,-6.9%
161,2023-05-01,All Day,GBP,Non-Economic,Bank Holiday,,,
162,2023-05-01,12:00,JPY,Low,Consumer Confidence,35.4,34.7,33.9
163,2023-05-01,All Day,EUR,Non-Economic,German Bank Holiday,,,
164,2023-05-01,20:30,CAD,Low,Manufacturing PMI,,50.2,48.6
165,2023-05-01,20:45,USD,Low,Final Manufacturing PMI,,50.4,50.4
166,2023-05-01,21:00,USD,High,ISM Manufacturing PMI,,46.8,46.3
167,2023-05-01, ,USD,Medium,ISM Manufacturing Prices,53.2,49.4,49.2
168,2023-05-01, ,USD,Low,Construction Spending m/m,,0.2%,-0.3%
169,2023-05-01,All Day,EUR,Non-Economic,Italian Bank Holiday,,,
170,2023-04-30, ,CNY,Medium,Non-Manufacturing PMI,56.4,57.0,58.2
171,2023-04-30,8:30,CNY,Medium,Manufacturing PMI,49.2,51.4,51.9
172,2023-04-29,Day 2,EUR,Low,ECOFIN Meetings,,,
173,2023-04-28, ,JPY,High,Monetary Policy Statement,,,
174,2023-04-28,All Day,EUR,High,German Prelim CPI m/m,0.4%,0.6%,0.8%
175,2023-04-28,13:00,EUR,Low,German Import Prices m/m,-1.1%,-1.3%,-2.4%
176,2023-04-28, ,JPY,High,BOJ Press Conference,,,
177,2023-04-28, ,EUR,Low,French Consumer Spending m/m,-1.3%,0.5%,-0.8%
178,2023-04-28,12:30,EUR,Medium,French Flash GDP q/q,,0.2%,0.0%
179,2023-04-28,12:00,JPY,Low,Housing Starts y/y,-3.2%,-3.9%,-0.3%
180,2023-04-28, ,JPY,Medium,BOJ Policy Rate,,-0.10%,-0.10%
181,2023-04-28,6:50,JPY,Low,Prelim Industrial Production m/m,0.8%,0.4%,4.6%
182,2023-04-28,23:00,JPY,High,BOJ Outlook Report,,,
183,2023-04-28, ,AUD,Low,Private Sector Credit m/m,,0.3%,0.3%
184,2023-04-28,8:30,AUD,Low,PPI q/q,1.0%,0.6%,0.7%
185,2023-04-28, ,JPY,Low,Retail Sales y/y,7.2%,6.5%,7.3%
186,2023-04-28, ,JPY,Low,Unemployment Rate,2.8%,2.5%,2.6%
187,2023-04-28,6:30,JPY,High,Tokyo Core CPI y/y,3.5%,3.2%,3.2%
188,2023-04-28,14:00,CHF,Low,KOF Economic Barometer,96.4,98.0,99.2
189,2023-04-28,13:45,EUR,Low,French Prelim CPI m/m,0.6%,0.5%,0.9%
190,2023-04-28,13:30,CHF,Low,Retail Sales y/y,-1.9%,0.4%,-0.5%
191,2023-04-28, ,EUR,Medium,Spanish Flash CPI y/y,4.1%,4.4%,3.3%
192,2023-04-28,All Day,EUR,Low,Eurogroup Meetings,,,
193,2023-04-28, ,USD,Low,Revised UoM Inflation Expectations,,,4.6%
194,2023-04-28,21:00,USD,Medium,Revised UoM Consumer Sentiment,,63.5,63.5
195,2023-04-28,20:45,USD,Medium,Chicago PMI,48.6,43.6,43.8
196,2023-04-28, ,USD,Low,Personal Spending m/m,0.0%,-0.1%,0.1%
197,2023-04-28, ,USD,Low,Personal Income m/m,0.3%,0.2%,0.3%
198,2023-04-28, ,USD,High,Employment Cost Index q/q,1.2%,1.1%,1.0%
199,2023-04-28,19:30,CAD,High,GDP m/m,0.1%,0.2%,0.6%
200,2023-04-28, ,USD,High,Core PCE Price Index m/m,,0.3%,0.3%
201,2023-04-28,Day 1,EUR,Low,ECOFIN Meetings,,,
202,2023-04-28,16:00,EUR,Low,Prelim Flash GDP q/q,0.1%,0.2%,0.0%
203,2023-04-28, ,EUR,Low,German Prelim GDP q/q,0.0%,0.2%,-0.4%
204,2023-04-28, ,EUR,Low,Italian Prelim GDP q/q,0.5%,0.2%,-0.1%
205,2023-04-28,15:00,CHF,Medium,SNB Chairman Jordan Speaks,,,
206,2023-04-28, ,EUR,Low,Spanish Flash GDP q/q,0.5%,0.3%,0.4%
207,2023-04-28,14:55,EUR,Low,German Unemployment Change,24K,8K,19K
208,2023-04-27,19:30,USD,High,Advance GDP q/q,1.1%,2.0%,2.6%
209,2023-04-27,0:30,CAD,Low,BOC Summary of Deliberations,,,
210,2023-04-27,8:00,NZD,Low,ANZ Business Confidence,,,-43.4
211,2023-04-27,8:30,AUD,Low,Import Prices q/q,-4.2%,0.4%,1.8%
212,2023-04-27,16:13,EUR,Low,Italian 10-y Bond Auction,,,4.12|1.4
213,2023-04-27,14:00,EUR,Low,Spanish Unemployment Rate,13.3%,13.0%,12.9%
214,2023-04-27, ,USD,High,Unemployment Claims,230K,247K,246K
215,2023-04-27, ,USD,Medium,Advance GDP Price Index q/q,4.0%,3.7%,3.9%
216,2023-04-27,21:00,USD,Medium,Pending Home Sales m/m,-5.2%,0.6%,0.8%
217,2023-04-27,21:30,USD,Low,Natural Gas Storage,79B,76B,75B
218,2023-04-26,17:00,GBP,Low,CBI Realized Sales,,4,1
219,2023-04-26,5:45,NZD,Low,Trade Balance,-1273M,-500M,-796M
220,2023-04-26,8:30,AUD,High,CPI q/q,1.4%,1.3%,1.9%
221,2023-04-26, ,AUD,High,CPI y/y,6.3%,6.5%,6.8%
222,2023-04-26, ,AUD,High,Trimmed Mean CPI q/q,1.2%,1.4%,1.7%
223,2023-04-26,10:00,NZD,Low,Credit Card Spending y/y,,,25.5%
224,2023-04-26,13:00,EUR,Low,German GfK Consumer Climate,-25.7,-28.0,-29.3
225,2023-04-26,15:00,CHF,Low,Credit Suisse Economic Expectations,,,-41.3
226,2023-04-26,19:30,USD,Medium,Core Durable Goods Orders m/m,0.3%,-0.2%,-0.1%
227,2023-04-26, ,USD,Medium,Durable Goods Orders m/m,3.2%,0.7%,-1.2%
228,2023-04-26, ,USD,Low,Goods Trade Balance,-84.6B,-90.1B,-92.0B
229,2023-04-26, ,USD,Low,Prelim Wholesale Inventories m/m,,0.1%,0.1%
230,2023-04-26,20:00,CNY,Low,CB Leading Index m/m,,,-0.3%
231,2023-04-26,21:30,USD,Low,Crude Oil Inventories,-5.1M,-1.3M,-4.6M
232,2023-04-25,All Day,EUR,Non-Economic,Italian Bank Holiday,,,
233,2023-04-25,All Day,NZD,Non-Economic,Bank Holiday,,,
234,2023-04-25,All Day,AUD,Non-Economic,Bank Holiday,,,
235,2023-04-25,6:50,JPY,Low,SPPI y/y,1.6%,1.7%,1.7%
236,2023-04-25,12:00,JPY,Low,BOJ Core CPI y/y,2.9%,2.6%,2.7%
237,2023-04-25,13:00,CHF,Low,Trade Balance,4.53B,4.20B,3.14B
238,2023-04-25, ,GBP,Low,Public Sector Net Borrowing,,20.5B,12.5B
239,2023-04-25,17:00,GBP,Low,CBI Industrial Order Expectations,,-21,-20
240,2023-04-25,16:00,GBP,Low,MPC Member Broadbent Speaks,,,
241,2023-04-25,20:00,USD,Low,HPI m/m,0.5%,-0.1%,0.1%
242,2023-04-25, ,USD,Low,S&P/CS Composite-20 HPI y/y,0.4%,-0.1%,2.6%
243,2023-04-25,20:59,USD,Medium,Richmond Manufacturing Index,-10,-8,-5
244,2023-04-25,21:00,USD,High,CB Consumer Confidence,101.3,104.1,104.0
245,2023-04-25, ,USD,Medium,New Home Sales,683K,633K,623K
246,2023-04-24,17:00,EUR,Low,German Buba Monthly Report,,,
247,2023-04-24,15:00,EUR,Medium,German ifo Business Climate,,93.4,93.3
248,2023-04-24,6:01,GBP,Low,Rightmove HPI m/m,,,0.8%
249,2023-04-24,19:30,CAD,Low,NHPI m/m,0.0%,0.1%,-0.2%
250,2023-04-24,20:00,EUR,Low,Belgian NBB Business Climate,-7.8,-5.2,-7.6
251,2023-04-22,3:35,USD,Low,FOMC Member Cook Speaks,,,
252,2023-04-21,14:15,EUR,High,French Flash Manufacturing PMI,45.5,47.9,47.3
253,2023-04-21,11:00,USD,Medium,FOMC Member Waller Speaks,,,
254,2023-04-21,2:00,USD,Low,FOMC Member Bowman Speaks,,,
255,2023-04-21,3:30,GBP,Low,MPC Member Tenreyro Speaks,,,
256,2023-04-21,6:00,AUD,Low,Flash Manufacturing PMI,,,49.1
257,2023-04-21, ,AUD,Low,Flash Services PMI,,,48.6
258,2023-04-21,6:01,GBP,Low,GfK Consumer Confidence,-30,-35,-36
259,2023-04-21,6:30,JPY,Low,National Core CPI y/y,3.1%,3.0%,3.1%
260,2023-04-21,6:45,USD,Medium,FOMC Member Harker Speaks,,,
261,2023-04-21,7:30,JPY,Low,Flash Manufacturing PMI,49.5,49.9,49.2
262,2023-04-21,13:00,GBP,Medium,Retail Sales m/m,-0.9%,-0.5%,1.1%
263,2023-04-21, ,EUR,High,French Flash Services PMI,56.3,53.6,53.9
264,2023-04-21, ,EUR,High,German Flash Services PMI,55.7,53.3,53.7
265,2023-04-21,15:00,EUR,Medium,Flash Manufacturing PMI,45.5,47.9,47.3
266,2023-04-21, ,EUR,Medium,Flash Services PMI,56.6,54.6,55.0
267,2023-04-21,15:30,GBP,High,Flash Manufacturing PMI,46.6,48.3,47.9
268,2023-04-21, ,GBP,High,Flash Services PMI,54.9,52.9,52.9
269,2023-04-21,19:30,CAD,Medium,Core Retail Sales m/m,-0.7%,0.0%,0.9%
270,2023-04-21, ,CAD,Medium,Retail Sales m/m,-0.2%,-0.6%,1.6%
271,2023-04-21,20:45,USD,High,Flash Manufacturing PMI,50.4,49.0,49.2
272,2023-04-21, ,USD,High,Flash Services PMI,53.7,51.5,52.6
273,2023-04-21,14:30,EUR,High,German Flash Manufacturing PMI,44.0,45.6,44.7
274,2023-04-20,15:41,EUR,Low,Spanish 10-y Bond Auction,,,3.40|1.4
275,2023-04-20,6:50,JPY,Low,Trade Balance,-1.21T,-1.70T,-1.25T
276,2023-04-20,13:00,EUR,Low,German PPI m/m,-2.6%,-0.6%,-0.3%
277,2023-04-20,11:00,CHF,Low,Gov Board Member Schlegel Speaks,,,
278,2023-04-20,9:00,AUD,High,RBA Gov Lowe Speaks,,,
279,2023-04-20,8:30,AUD,Low,NAB Quarterly Business Confidence,,,-1
280,2023-04-20,1:00,USD,Low,Beige Book,,,
281,2023-04-20,6:00,USD,Low,FOMC Member Williams Speaks,,,
282,2023-04-20,5:45,NZD,High,CPI q/q,1.2%,1.5%,1.4%
283,2023-04-20, ,USD,Low,FOMC Member Goolsbee Speaks,,,
284,2023-04-20,4:30,GBP,Low,MPC Member Mann Speaks,,,
285,2023-04-20,14:00,CNY,Low,Foreign Direct Investment ytd/y,,,6.1%
286,2023-04-20,23:30,JPY,Low,Tertiary Industry Activity m/m,0.7%,0.4%,0.7%
287,2023-04-20,16:00,EUR,Low,Trade Balance,-0.1B,-8.5B,-11.6B
288,2023-04-20, ,USD,Medium,Existing Home Sales,4.44M,4.50M,4.55M
289,2023-04-20,18:30,EUR,Low,ECB Monetary Policy Meeting Accounts,,,
290,2023-04-20,21:30,USD,Low,Natural Gas Storage,75B,69B,25B
291,2023-04-20,21:15,USD,Medium,Treasury Sec Yellen Speaks,,,
292,2023-04-20, ,USD,Low,CB Leading Index m/m,-1.2%,-0.7%,-0.5%
293,2023-04-20,22:30,CAD,High,BOC Gov Macklem Speaks,,,
294,2023-04-20,21:00,EUR,Low,Consumer Confidence,-18,-19,-19
295,2023-04-20, ,USD,Medium,Philly Fed Manufacturing Index,-31.3,-19.1,-23.2
296,2023-04-20,19:30,USD,High,Unemployment Claims,245K,240K,240K
297,2023-04-20,19:15,EUR,Medium,ECB President Lagarde Speaks,,,
298,2023-04-19,14:00,CHF,Medium,Gov Board Member Maechler Speaks,,,
299,2023-04-19,0:00,USD,Low,FOMC Member Bowman Speaks,,,
300,2023-04-19,7:30,AUD,Low,MI Leading Index m/m,,,-0.1%
301,2023-04-19,23:30,JPY,Low,Revised Industrial Production m/m,4.6%,4.5%,4.5%
302,2023-04-19,13:00,GBP,High,CPI y/y,10.1%,9.8%,10.4%
303,2023-04-19, ,GBP,Low,Core CPI y/y,6.2%,6.0%,6.2%
304,2023-04-19, ,GBP,Low,PPI Input m/m,0.2%,-0.3%,0.0%
305,2023-04-19, ,GBP,Low,PPI Output m/m,0.1%,-0.2%,-0.4%
306,2023-04-19, ,GBP,Low,RPI y/y,13.5%,13.3%,13.8%
307,2023-04-19,15:00,EUR,Low,Current Account,24.3B,10.3B,18.6B
308,2023-04-19,16:00,EUR,Low,Final CPI y/y,,6.9%,6.9%
309,2023-04-19, ,EUR,Low,Final Core CPI y/y,,5.7%,5.7%
310,2023-04-19,16:34,EUR,Low,German 10-y Bond Auction,,,2.32|1.4
311,2023-04-19,19:13,CAD,Low,Housing Starts,214K,236K,241K
312,2023-04-19,19:30,CAD,Low,IPPI m/m,0.1%,-0.4%,-0.6%
313,2023-04-19, ,CAD,Low,RMPI m/m,-1.7%,-0.7%,-0.3%
314,2023-04-19,21:30,USD,Low,Crude Oil Inventories,-4.6M,-0.4M,0.6M
315,2023-04-19,15:30,GBP,Low,HPI y/y,5.5%,5.0%,6.5%
316,2023-04-18,16:00,EUR,Medium,German ZEW Economic Sentiment,4.1,15.5,13.0
317,2023-04-18, ,CNY,Low,Retail Sales y/y,10.6%,7.3%,3.5%
318,2023-04-18, ,GBP,Low,Unemployment Rate,3.8%,3.7%,3.7%
319,2023-04-18, ,GBP,Medium,Average Earnings Index 3m/y,5.9%,5.1%,5.9%
320,2023-04-18,13:00,GBP,High,Claimant Count Change,28.2K,-2.5K,-18.8K
321,2023-04-18, ,CNY,Low,Unemployment Rate,5.3%,5.5%,5.6%
322,2023-04-18,9:00,CNY,Medium,GDP q/y,4.5%,4.0%,2.9%
323,2023-04-18, ,CNY,Low,NBS Press Conference,,,
324,2023-04-18, ,CNY,Low,Industrial Production y/y,3.9%,4.7%,2.4%
325,2023-04-18,3:00,USD,Low,TIC Long-Term Purchases,71.0B,40.3B,31.9B
326,2023-04-18,8:30,AUD,Medium,Monetary Policy Meeting Minutes,,,
327,2023-04-18,15:00,EUR,Low,Italian Trade Balance,2.11B,-3.23B,-4.24B
328,2023-04-18, ,CNY,Low,Fixed Asset Investment ytd/y,5.1%,5.7%,5.5%
329,2023-04-18, ,EUR,Low,ZEW Economic Sentiment,6.4,12.2,10.0
330,2023-04-18,19:30,CAD,High,CPI m/m,0.5%,0.6%,0.4%
331,2023-04-18, ,CAD,High,Median CPI y/y,4.6%,4.5%,4.9%
332,2023-04-18, ,CAD,High,Trimmed CPI y/y,,4.4%,4.8%
333,2023-04-18, ,CAD,Medium,Common CPI y/y,5.9%,6.0%,6.4%
334,2023-04-18, ,USD,Low,Building Permits,1.41M,1.46M,1.55M
335,2023-04-18, ,USD,Low,Housing Starts,,1.40M,1.43M
336,2023-04-18,19:32,CAD,Low,Core CPI m/m,,,0.5%
337,2023-04-18,21:54,NZD,Low,GDT Price Index,,,-4.7%
